YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2020,Brook Lopez,C,Milwaukee Bucks,0.435,12,4.6,1.5,2.4
2020,Patrick Beverley,G,LA Clippers,0.431,7.9,5.2,3.6,0.5
2020,Eric Bledsoe,G,Milwaukee Bucks,0.474,14.9,4.6,5.4,0.4
2020,Kawhi Leonard,F,LA Clippers,0.47,27.1,7.1,4.9,0.6
2020,Bam Adebayo,F,Miami Heat,0.557,15.9,10.2,5.1,1.3
2019,Jrue Holiday,G,New Orleans Pelicans,0.472,21.2,5,7.7,0.8
2019,Kawhi Leonard,F,Toronto Raptors,0.496,26.6,7.3,3.3,0.4
2019,Klay Thompson,G,Golden State Warriors,0.467,21.5,3.8,2.4,0.6
2019,Draymond Green,F,Golden State Warriors,0.445,7.4,7.3,6.9,1.1
2019,Joel Embiid,C,Philadelphia 76ers,0.484,27.5,13.6,3.7,1.9
2018,Al Horford,C,Boston Celtics,0.489,12.9,7.4,4.7,1.1
2018,Jimmy Butler,G,Minnesota Timberwolves,0.474,22.2,5.3,4.9,0.4
2018,Draymond Green,F,Golden State Warriors,0.454,11,7.6,7.3,1.3
2018,Joel Embiid,C,Philadelphia 76ers,0.483,22.9,11,3.2,1.8
2018,Dejounte Murray,G,San Antonio Spurs,0.443,8.1,5.7,2.9,0.4
2017,Tony Allen,G,Memphis Grizzlies,0.46,9.1,5.5,1.4,0.4
2017,Danny Green,G,San Antonio Spurs,0.392,7.3,3.3,1.8,0.8
2017,Anthony Davis,F,New Orleans Pelicans,0.505,28,11.8,2.1,2.2
2017,Andre Roberson,G,Oklahoma City Thunder,0.464,6.6,5.1,1,1
2017,Giannis Antetokounmpo,F,Milwaukee Bucks,0.521,22.9,8.8,5.4,1.9
2016,Tony Allen,G,Memphis Grizzlies,0.458,8.4,4.6,1.1,0.3
2016,Paul Millsap,F,Atlanta Hawks,0.47,17.1,9,3.3,1.7
2016,Paul George,F,Indiana Pacers,0.418,23.1,7,4.1,0.4
2016,Hassan Whiteside,C,Miami Heat,0.606,14.2,11.8,0.4,3.7
2016,Jimmy Butler,G,Chicago Bulls,0.454,20.9,5.3,4.8,0.6
2015,Tim Duncan,F,San Antonio Spurs,0.512,13.9,9.1,3,2
2015,Andrew Bogut,C,Golden State Warriors,0.563,6.3,8.1,2.7,1.7
2015,John Wall,G,Washington Wizards,0.445,17.6,4.6,10,0.6
2015,Jimmy Butler,G,Chicago Bulls,0.462,20,5.8,3.3,0.6
2015,Anthony Davis,F,New Orleans Pelicans,0.535,24.4,10.2,2.2,2.9
2014,LeBron James,F,Miami Heat,0.567,27.1,6.9,6.4,0.3
2014,Roy Hibbert,C,Indiana Pacers,0.439,10.8,6.6,1.1,2.2
2014,Patrick Beverley,G,Houston Rockets,0.414,10.2,3.5,2.7,0.4
2014,Jimmy Butler,G,Chicago Bulls,0.397,13.1,4.9,2.6,0.5
2014,Kawhi Leonard,F,San Antonio Spurs,0.522,12.8,6.2,2,0.8
2013,Tim Duncan,F,San Antonio Spurs,0.502,17.8,9.9,2.7,2.7
2013,Mike Conley,G,Memphis Grizzlies,0.44,14.6,2.8,6.1,0.3
2013,Marc Gasol,C,Memphis Grizzlies,0.494,14.1,7.8,4,1.7
2013,Avery Bradley,G,Boston Celtics,0.402,9.2,2.2,2.1,0.4
2013,Paul George,G,Indiana Pacers,0.419,17.4,7.6,4.1,0.6
2012,Kobe Bryant,G,Los Angeles Lakers,0.43,27.9,5.4,4.6,0.3
2012,Kevin Garnett,C,Boston Celtics,0.503,15.8,8.2,2.9,1
2012,Tyson Chandler,C,New York Knicks,0.679,11.3,9.9,0.9,1.4
2012,Luol Deng,F,Chicago Bulls,0.412,15.3,6.5,2.9,0.7
2012,Rajon Rondo,G,Boston Celtics,0.448,11.9,4.8,11.7,0.1
2011,Tyson Chandler,C,Dallas Mavericks,0.654,10.1,9.4,0.4,1.1
2011,Tony Allen,SG,Memphis Grizzlies,0.51,8.9,2.7,1.4,0.6
2011,Andre Iguodala,SF,Philadelphia 76ers,0.445,14.1,5.8,6.3,0.6
2011,Chris Paul,PG,New Orleans Hornets,0.463,15.9,4.1,9.8,0.1
2011,Joakim Noah,C,Chicago Bulls,0.525,11.7,10.4,2.2,1.5
2010,Tim Duncan,C,San Antonio Spurs,0.518,17.9,10.1,3.2,1.5
2010,Dwyane Wade,G,Miami Heat,0.476,26.6,4.8,6.5,1.1
2010,Josh Smith,PF,Atlanta Hawks,0.505,15.7,8.7,4.2,2.1
2010,Anderson Varejao,C,Cleveland Cavaliers,0.572,8.6,7.6,1.1,0.9
2010,Thabo Sefolosha,F,Oklahoma City Thunder,0.44,6,4.7,1.8,0.6
2009,Metta World Peace,SF,Los Angeles Lakers,0.401,17.1,5.2,3.3,0.3
2009,Tim Duncan,C,San Antonio Spurs,0.504,19.3,10.7,3.5,1.7
2009,Shane Battier,SF,Houston Rockets,0.41,7.3,4.8,2.3,0.9
2009,Dwyane Wade,G,Miami Heat,0.491,30.2,5,7.5,1.3
2009,Rajon Rondo,PG,Boston Celtics,0.505,11.9,5.2,8.2,0.1
2008,Raja Bell,SG,Phoenix Suns,0.421,11.9,3.7,2.2,0.4
2008,Shane Battier,SF,Houston Rockets,0.428,9.3,5.1,1.9,1.1
2008,Tayshaun Prince,SF,Detroit Pistons,0.448,13.2,4.9,3.3,0.4
2008,Dwight Howard,C,Orlando Magic,0.599,20.7,14.2,1.3,2.1
2008,Chris Paul,PG,New Orleans Hornets,0.488,21.1,4,11.6,0.1
2007,Kevin Garnett,PF,Minnesota Timberwolves,0.476,22.4,12.8,4.1,1.7
2007,Jason Kidd,PG,New Jersey Nets,0.406,13,8.2,9.2,0.3
2007,Ben Wallace,PF,Chicago Bulls,0.453,6.4,10.7,2.4,2
2007,Tayshaun Prince,SF,Detroit Pistons,0.46,14.3,5.2,2.8,0.7
