YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2020,Chris Paul,G,Oklahoma City Thunder,0.489,17.6,5,6.7,0.2
2020,Kawhi Leonard,F,LA Clippers,0.47,27.1,7.1,4.9,0.6
2020,Damian Lillard,G,Portland Trail Blazers,0.463,30,4.3,8,0.3
2020,Nikola Jokic,C,Denver Nuggets,0.528,19.9,9.7,7,0.6
2020,Pascal Siakam,F,Toronto Raptors,0.453,22.9,7.3,3.5,0.9
2019,Kevin Durant,F,Golden State Warriors,0.521,26,6.4,5.9,1.1
2019,Kyrie Irving,G,Boston Celtics,0.487,23.8,5,6.9,0.5
2019,Kawhi Leonard,F,Toronto Raptors,0.496,26.6,7.3,3.3,0.4
2019,Damian Lillard,G,Portland Trail Blazers,0.444,25.8,4.6,6.9,0.4
2019,Joel Embiid,C,Philadelphia 76ers,0.484,27.5,13.6,3.7,1.9
2018,LaMarcus Aldridge,F,San Antonio Spurs,0.51,23.1,8.5,2,1.2
2018,Russell Westbrook,G,Oklahoma City Thunder,0.449,25.4,10.1,10.3,0.3
2018,DeMar DeRozan,G,Toronto Raptors,0.456,23,3.9,5.2,0.3
2018,Giannis Antetokounmpo,F,Milwaukee Bucks,0.529,26.9,10,4.8,1.4
2018,Joel Embiid,C,Philadelphia 76ers,0.483,22.9,11,3.2,1.8
2017,Kevin Durant,F,Golden State Warriors,0.537,25.1,8.3,4.8,1.6
2017,Stephen Curry,G,Golden State Warriors,0.468,25.3,4.5,6.6,0.2
2017,Isaiah Thomas,G,Boston Celtics,0.463,28.9,2.7,5.9,0.2
2017,Rudy Gobert,C,Utah Jazz,0.661,14,12.8,1.2,2.6
2017,Giannis Antetokounmpo,F,Milwaukee Bucks,0.521,22.9,8.8,5.4,1.9
2016,Chris Paul,G,LA Clippers,0.462,19.5,4.2,10,0.2
2016,Kevin Durant,F,Oklahoma City Thunder,0.505,28.2,8.2,5,1.2
2016,DeMarcus Cousins,C,Sacramento Kings,0.451,26.9,11.5,3.3,1.4
2016,Draymond Green,F,Golden State Warriors,0.49,14,9.5,7.4,1.4
2016,Damian Lillard,G,Portland Trail Blazers,0.419,25.1,4,6.8,0.4
2015,Pau Gasol,F,Chicago Bulls,0.494,18.5,11.8,2.7,1.9
2015,Chris Paul,G,LA Clippers,0.485,19.1,4.6,10.2,0.2
2015,LaMarcus Aldridge,F,Portland Trail Blazers,0.466,23.4,10.2,1.7,1
2015,Russell Westbrook,G,Oklahoma City Thunder,0.426,28.1,7.3,8.6,0.2
2015,DeMarcus Cousins,C,Sacramento Kings,0.467,24.1,12.7,3.6,1.7
2014,Tony Parker,G,San Antonio Spurs,0.499,16.7,2.3,5.7,0.1
2014,Dwight Howard,C,Houston Rockets,0.591,18.3,12.2,1.8,1.8
2014,Kevin Love,F,Minnesota Timberwolves,0.457,26.1,12.5,4.4,0.5
2014,Stephen Curry,G,Golden State Warriors,0.471,24,4.3,8.5,0.2
2014,Blake Griffin,F,LA Clippers,0.528,24.1,9.5,3.9,0.6
2013,Tony Parker,G,San Antonio Spurs,0.522,20.3,3,7.6,0.1
2013,Carmelo Anthony,F,New York Knicks,0.449,28.7,6.9,2.6,0.5
2013,Marc Gasol,C,Memphis Grizzlies,0.494,14.1,7.8,4,1.7
2013,Russell Westbrook,G,Oklahoma City Thunder,0.438,23.2,5.2,7.4,0.3
2013,Blake Griffin,F,LA Clippers,0.538,18,8.3,3.7,0.6
2012,Tony Parker,G,San Antonio Spurs,0.48,18.3,2.9,7.7,0.1
2012,Andrew Bynum,C,Philadelphia 76ers,0.558,18.7,11.8,1.4,1.9
2012,Kevin Love,F,Minnesota Timberwolves,0.448,26,13.3,2,0.5
2012,Russell Westbrook,G,Oklahoma City Thunder,0.457,23.6,4.6,5.5,0.3
2012,Blake Griffin,F,LA Clippers,0.549,20.7,10.9,3.2,0.7
2011,Dirk Nowitzki,F,Dallas Mavericks,0.517,23,7,2.6,0.6
2011,Pau Gasol,PF,Los Angeles Lakers,0.529,18.8,10.2,3.3,1.6
